v1	V(n001)	I(D1)
-5.629999999999875e-02	-5.630000e-02	-1.792559e-09
-5.619999999999875e-02	-5.620000e-02	-1.790951e-09
-5.609999999999875e-02	-5.610000e-02	-1.789340e-09
-5.599999999999875e-02	-5.600000e-02	-1.787726e-09
-5.589999999999874e-02	-5.590000e-02	-1.786108e-09
-5.579999999999874e-02	-5.580000e-02	-1.784487e-09
-5.569999999999874e-02	-5.570000e-02	-1.782861e-09
-5.559999999999873e-02	-5.560000e-02	-1.781233e-09
-5.549999999999873e-02	-5.550000e-02	-1.779600e-09
-5.539999999999873e-02	-5.540000e-02	-1.777965e-09
-5.529999999999873e-02	-5.530000e-02	-1.776325e-09
-5.519999999999872e-02	-5.520000e-02	-1.774682e-09
-5.509999999999872e-02	-5.510000e-02	-1.773035e-09
-5.499999999999872e-02	-5.500000e-02	-1.771385e-09
-5.489999999999871e-02	-5.490000e-02	-1.769731e-09
-5.479999999999871e-02	-5.480000e-02	-1.768073e-09
-5.469999999999871e-02	-5.470000e-02	-1.766412e-09
-5.459999999999871e-02	-5.460000e-02	-1.764746e-09
-5.449999999999870e-02	-5.450000e-02	-1.763078e-09
-5.439999999999870e-02	-5.440000e-02	-1.761405e-09
-5.429999999999870e-02	-5.430000e-02	-1.759729e-09
-5.419999999999869e-02	-5.420000e-02	-1.758049e-09
-5.409999999999869e-02	-5.410000e-02	-1.756366e-09
-5.399999999999869e-02	-5.400000e-02	-1.754679e-09
-5.389999999999869e-02	-5.390000e-02	-1.752988e-09
-5.379999999999868e-02	-5.380000e-02	-1.751293e-09
